# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
2.652348478606946713e+01	1.629566039527563334e+09	5.288050000000000637e+02	5.232119999999999891e+02	5.334709999999999127e+03	5.639569999999999709e+03	2.440670000000000073e+03	1.394450000000000273e+03	1.746415000000000000e+06	1.677710000000000000e+06	1.230164999999999964e+03
2.821231216889741233e+01	1.629704673341859818e+09	5.290199999999999818e+02	5.229239999999999782e+02	5.449534999999999854e+03	5.586815000000000509e+03	2.435440000000000055e+03	1.398835000000000036e+03	1.750570000000000000e+06	1.681715000000000000e+06	1.220934999999999945e+03
2.934459308427892665e+01	1.629565873729964733e+09	5.257549999999999955e+02	5.214204999999999472e+02	5.332435000000000400e+03	5.622494999999999891e+03	2.432055000000000291e+03	1.392545000000000073e+03	1.746110000000000000e+06	1.677500000000000000e+06	1.214569999999999936e+03
3.074074837282609707e+01	1.629704617787020683e+09	5.271749999999999545e+02	5.217400000000000091e+02	5.436614999999999782e+03	5.571719999999999345e+03	2.429779999999999745e+03	1.397644999999999982e+03	1.750315000000000000e+06	1.681445000000000000e+06	1.210065000000000055e+03
3.193101242340666346e+01	1.629565707228405952e+09	5.249600000000000364e+02	5.198215000000000146e+02	5.330034999999999854e+03	5.605600000000000364e+03	2.425925000000000182e+03	1.391389999999999873e+03	1.745860000000000000e+06	1.677285000000000000e+06	1.201440000000000055e+03
3.294881304661207366e+01	1.629704561986371994e+09	5.257500000000000000e+02	5.206530000000000200e+02	5.426909999999999854e+03	5.557844999999999345e+03	2.425505000000000109e+03	1.397054999999999836e+03	1.749750000000000000e+06	1.681090000000000000e+06	1.200130000000000109e+03
3.432808558078784245e+01	1.629658212443045855e+09	5.254033333333333076e+02	5.196819999999999027e+02	5.388793333333333976e+03	5.561380000000000109e+03	2.422526666666666642e+03	1.394813333333333503e+03	1.748446666666666744e+06	1.679803333333333256e+06	1.193986666666666679e+03
3.574840931749795203e+01	1.629658157024188995e+09	5.244800000000000182e+02	5.190726666666666915e+02	5.384600000000000364e+03	5.551326666666666824e+03	2.419956666666666479e+03	1.394403333333333421e+03	1.748526666666666744e+06	1.679556666666666744e+06	1.188316666666666606e+03
3.721011002414905278e+01	1.629750938322075605e+09	5.255033333333333303e+02	5.194823333333332585e+02	5.433580000000000837e+03	5.515463333333333139e+03	2.418880000000000564e+03	1.398020000000000209e+03	1.750703333333333256e+06	1.681398333333333256e+06	1.187303333333333285e+03
3.839977765791776676e+01	1.629813095880333185e+09	5.282277777777777601e+02	5.195258888888889715e+02	5.454836666666666133e+03	5.482627777777778647e+03	2.417396666666666533e+03	1.397471111111110986e+03	1.750451111111111008e+06	1.681383333333333256e+06	1.185504444444444516e+03
3.955994754800421020e+01	1.629782416394380569e+09	5.257722222222223536e+02	5.188971111111110304e+02	5.427912222222222226e+03	5.480022222222222808e+03	2.415262222222222135e+03	1.392557777777777801e+03	1.746546666666666744e+06	1.677706666666666744e+06	1.179874444444444407e+03
4.063974453975756518e+01	1.629658265920095205e+09	5.234566666666665924e+02	5.171353333333332785e+02	5.363876666666667006e+03	5.507093333333333248e+03	2.412276666666667097e+03	1.390763333333333321e+03	1.745400000000000000e+06	1.676593333333333256e+06	1.168343333333333476e+03
